cif_id,target
mp-10037.cif,2.369215857410143
mp-10055.cif,2.481442628502305
mp-1007730.cif,2.0211892990699383
mp-1008224.cif,2.307496037913213
mp-1008625.cif,2.481442628502305
mp-1008752.cif,0.9542425094393249
mp-10159.cif,1.146128035678238
mp-1018031.cif,1.7075701760979363
mp-1018042.cif,1.8750612633917
mp-1018082.cif,2.2355284469075487
mp-1018699.cif,1.6720978579357175
mp-10564.cif,1.7708520116421442
mp-10749.cif,1.6812412373755872
mp-11157.cif,1.7403626894942439
mp-11481.cif,2.4913616938342726
mp-11534.cif,2.2329961103921536
mp-11576.cif,1.5185139398778875
mp-11693.cif,1.6812412373755872
mp-11752.cif,1.7853298350107671
mp-11836.cif,1.954242509439325
mp-12058.cif,2.1986570869544226
mp-12110.cif,2.4216039268698313
mp-1232.cif,2.424881636631067
mp-12444.cif,1.8750612633917
mp-12550.cif,2.292256071356476
mp-12599.cif,1.7075701760979363
mp-1261.cif,1.568201724066995
mp-13121.cif,1.9822712330395684
mp-13164.cif,2.1522883443830563
mp-1342.cif,1.8325089127062364
mp-13474.cif,1.7781512503836436
mp-13503.cif,1.9084850188786497
mp-13920.cif,1.6434526764861874
mp-1399.cif,2.0170333392987803
mp-140.cif,1.6901960800285136
mp-1471.cif,2.0043213737826426
mp-1490.cif,2.103803720955957
mp-15051.cif,2.167317334748176
mp-15053.cif,2.187520720836463
mp-1513.cif,2.113943352306837
mp-1543.cif,2.060697840353612
mp-1550.cif,1.9294189257142926
mp-15695.cif,2.041392685158225
mp-16648.cif,1.806179973983887
mp-16733.cif,1.9344984512435677
mp-16764.cif,1.4313637641589874
mp-1688.cif,1.8976270912904414
mp-171.cif,2.3283796034387376
mp-1852.cif,1.1760912590556813
mp-18759.cif,2.103803720955957
mp-1911.cif,1.7781512503836436
mp-19241.cif,1.919078092376074
mp-19252.cif,1.462397997898956
mp-1935.cif,1.3424226808222062
mp-1938.cif,2.3636119798921444
mp-19391.cif,2.0569048513364727
mp-1953.cif,2.060697840353612
mp-19940.cif,2.146128035678238
mp-1995.cif,1.9637878273455553
mp-20238.cif,2.100370545117563
